"id","my_entrynumber","entrynumber","dateentry","entrytext","entrytype","entrytype_detail","classactionflag","mdlflag","rule26freportflag","numberoflinks","numberofattachments","unique_caseheader_id","fullcase_id"
162,"","5","2014-10-03 00:00:00","ENDORSED ORDER: PLAINTIFF ATTEMPTS TO ALLEGE DIVERSITY OF CITIZENSHIP AS THE BASIS FOR THE COURT'S JURISDICTION OVER THIS MATTER |linksToEntryNumber| 1  . HOWEVER, UPON REVIEW OF THE COMPLAINT, THE COURT FINDS THAT PLAINTIFF HAS NOT SUFFICIENTLY DEMONSTRATED THAT THE PROPER GROUNDS FOR DIVERSITY JURISDICTION EXIST. DIVERSITY JURISDICTION IN A CASE INVOLVING A LIMITED LIABILITY COMPANY IS BASED ON THE CITIZENSHIP OF ALL MEMBERS OF THE LIMITED LIABILITY COMPANY. FURTHERMORE, TO PROPERLY ALLEGE THE CITIZENSHIP OF THE DEFENDANT CORPORATION, PLAINTIFF MUST PROVIDE THE CORPORATION'S PRINCIPAL PLACE OF BUSINESS IN ADDITION TO ITS STATE OF INCORPORATION. BECAUSE THE COMPLAINT FAILS TO PROPERLY ALLEGE THE CITIZENSHIP OF EACH PARTY, DIVERSITY HAS NOT BEEN DEFINITIVELY ESTABLISHED. ACCORDINGLY, THE COURT DIRECTS PLAINTIFF, ON OR BEFORE OCTOBER 10, 2014, TO FILE AN AMENDED COMPLAINT DEMONSTRATING THAT PROPER GROUNDS FOR DIVERSITY JURISDICTION EXIST. FAILURE TO SATISFY THE COURT THAT THE REQUIREMENTS FOR DIVERSITY JURISDICTION EXIST WILL RESULT IN AN ORDER OF DISMISSAL FOR LACK OF JURISDICTION. SIGNED BY JUDGE VIRGINIA M. HERNANDEZ COVINGTON ON 10/3/2014. (KBT) (ENTERED: 10/03/2014)","Other","",0,0,0,1,0,679282,667899
168,"","19","2014-12-18 00:00:00","ENDORSED ORDER: ON DECEMBER 4, 2014, PLAINTIFF FILED A MOTION TO DISMISS DEFENDANTS' COUNTERCLAIMS |linksToEntryNumber| 15 . ON DECEMBER 18, 2014, DEFENDANTS FILED A NOTICE OF WITHDRAWAL OF COUNTERCLAIMS |linksToEntryNumber| 18  . ACCORDINGLY, PLAINTIFF'S MOTION TO DISMISS IS DENIED AS MOOT. SIGNED BY JUDGE VIRGINIA M. HERNANDEZ COVINGTON ON 12/18/2014. (KBT) (ENTERED: 12/18/2014)","Other","",0,0,0,2,0,14770282,667900
172,"","15","2014-12-04 00:00:00","MOTION TO DISMISS RESPONDENTS' COUNTERCLAIMS SECRETARY'S MOTION TO DISMISS RESPONDENTS' COUNTERCLAIMS BY SECRETARY OF LABOR, UNITED STATES DEPARTMENT OF LABOR. (ABREU, JEAN) (ENTERED: 12/04/2014)","Motion TO ","DISMISS RESPONDENTS' COUNTERCLAIMS SECRETARY'S MOTION TO DISMISS RESPONDENTS' COUNTERCLAIMS",0,0,0,0,0,14770282,667900
191,"","13","2014-12-18 00:00:00","60-DAY ORDER OF DISMISSAL. ANY PENDING MOTIONS ARE DENIED AS MOOT. CLERK IS DIRECTED TO CLOSE THE FILE. SIGNED BY JUDGE JAMES S. MOODY, JR ON 12/18/2014. (LN) (ENTERED: 12/18/2014)","Other","",0,0,0,0,0,5819282,667902
209,"","4","2014-11-03 00:00:00","NOTICE OF VOLUNTARY DISMISSAL BY JASON MOSELY (LEACH, CARLOS) (ENTERED: 11/03/2014)","Notice","",0,0,0,0,0,7760282,667904
214,"","9","2014-12-03 00:00:00","RESPONSE IN OPPOSITION RE |linksToEntryNumber| 7  MOTION TO DISMISS DEFENDANT'S COUNTERCLAIM FILED BY AFFORDABLE TRANSPORT, INC.. (VASQUEZ, JENNIFER) (ENTERED: 12/03/2014)","ReplyOrResponse","",0,0,0,1,0,5121281,667905
216,"","7","2014-11-19 00:00:00","MOTION TO DISMISS DEFENDANT'S COUNTERCLAIM BY BROOKS BREWER. (NORELL, ROBERT) (ENTERED: 11/19/2014)","Motion TO ","DISMISS DEFENDANT'S COUNTERCLAIM",0,0,0,0,0,5121281,667905
234,"","7","2014-10-27 00:00:00","60-DAY ORDER DISMISSING CASE IN ACCORD WITH THE ATTACHED ORDER. THE CLERK IS DIRECTED TO TERMINATE ANY PENDING MOTIONS/DEADLINES AND TO CLOSE THE FILE. SIGNED BY JUDGE RICHARD A. LAZZARA ON 10/27/2014. (SKH) (ENTERED: 10/27/2014)","Other","",0,0,0,0,0,14371282,667907
324,"","7","2014-12-29 00:00:00","RESPONSE TO MOTION RE |linksToEntryNumber| 6 MOTION TO DISMISS DEFENDANT'S 2255 MOTION FILED BY JAMES CRAIG JENKINS, JR. (ATTACHMENTS: # |linksToAttachmentNumber| 1  MAILING ENVELOPE)(BSN) (ENTERED: 12/30/2014)","ReplyOrResponse","",0,0,0,1,1,615282,667914
325,"","6","2014-12-01 00:00:00","MOTION TO DISMISS DEFENDANT'S 2255 MOTION BY USA. (BINI, MARK) (ENTERED: 12/01/2014)","Motion TO ","DISMISS DEFENDANT'S 2255 MOTION",0,0,0,0,0,615282,667914
366,"","73","2014-12-12 00:00:00","ORDER DENYING |linksToEntryNumber| 28 VERIFIED MOTION TO DISMISS WITH PREJUDICE; DENYING |linksToEntryNumber| 54 VERIFIED MOTION TO DISMISS WITH PREJUDICE; DENYING AS MOOT |linksToEntryNumber| 63  MOTION FOR PERMISSION TO FILE A REPLY. SIGNED BY JUDGE JAMES D. WHITTEMORE ON 12/11/2014. (AO) (ENTERED: 12/12/2014)","Order","ORDER",0,0,0,3,0,8524282,667919
368,"","71","2014-12-10 00:00:00","MINUTE ENTRY. PROCEEDINGS HELD BEFORE JUDGE JAMES D. WHITTEMORE: MOTION HEARING HELD ON 12/10/2014 RE |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE FILED BY MUHAMMED MUSA, MD MEAT MARKET, INC. COURT REPORTER: LYNANN NICELY (RFK) (ENTERED: 12/10/2014)","PetkunOrder","",0,0,0,1,0,8524282,667919
372,"","67","2014-12-09 00:00:00","ORDER GRANTING |linksToEntryNumber| 65 JOINT MOTION TO DISMISS DEFENDANT MUHAMMAD MUSA WITHOUT PREJUDICE; DENYING AS MOOT |linksToEntryNumber| 55  MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM. SIGNED BY JUDGE JAMES D. WHITTEMORE ON 12/8/2014. (KE) (ENTERED: 12/09/2014)","Order","ORDER",0,0,0,2,0,8524282,667919
373,"","66","2014-12-08 00:00:00","RESPONSE TO MOTION RE |linksToEntryNumber| 65  JOINT MOTION TO DISMISS DEFENDANT MUSA AND CONSENT TO DISMISSAL FILED BY MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 12/08/2014)","ReplyOrResponse","",0,0,0,1,0,8524282,667919
374,"","65","2014-12-08 00:00:00","JOINT MOTION TO DISMISS DEFENDANT MUSA BY EL SOL BRANDS, INC, HARVEST TROPICALS, LLC, NEW LIMECO, LLC. (MCCAFFERY, ROBERT) (ENTERED: 12/08/2014)","Motion TO ","DISMISS DEFENDANT MUSA",0,0,0,0,0,8524282,667919
375,"","64","2014-12-08 00:00:00","REQUEST FOR ORAL ARGUMENT RE |linksToEntryNumber| 54  MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION BY MD MEAT MARKET, INC.. (FRICK, SCOTT) (ENTERED: 12/08/2014)","Motion TO ","DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION",0,0,0,1,0,8524282,667919
378,"","61","2014-12-05 00:00:00","RESPONSE TO MOTION RE |linksToEntryNumber| 54  MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION FILED BY HARVEST TROPICALS, LLC. (MCCAFFERY, ROBERT) (ENTERED: 12/05/2014)","ReplyOrResponse","",0,0,0,1,0,8524282,667919
384,"","55","2014-11-21 00:00:00","MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION BY MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 11/21/2014)","Motion TO ","DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION",0,0,0,0,0,8524282,667919
385,"","54","2014-11-21 00:00:00","MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION BY MD MEAT MARKET, INC.. (FRICK, SCOTT) (ENTERED: 11/21/2014)","Motion TO ","DISMISS FOR FAILURE TO STATE A CLAIM AS TO HARVEST TROPICALS, LLC'S COMPLAINT IN INTERVENTION",0,0,0,0,0,8524282,667919
390,"","49","2014-11-14 00:00:00","ORDER SETTING HEARING ON |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE : MOTION HEARING SET FOR 12/10/2014 AT 2:00 PM IN TAMPA COURTROOM 13B BEFORE JUDGE JAMES D. WHITTEMORE. SIGNED BY JUDGE JAMES D. WHITTEMORE ON 11/13/2014. (KE) (ENTERED: 11/14/2014)","PetkunOrder","",0,0,0,1,0,8524282,667919
394,"","45","2014-11-07 00:00:00","REPLY TO RESPONSE TO MOTION RE |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE FILED BY MD MEAT MARKET, INC., MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 11/07/2014)","ReplyOrResponse","",0,0,0,1,0,8524282,667919
399,"","40","2014-10-30 00:00:00","REQUEST FOR ORAL ARGUMENT RE |linksToEntryNumber| 35 DECLARATION, |linksToEntryNumber| 38 RESPONSE IN OPPOSITION TO MOTION, |linksToEntryNumber| 37 NOTICE (OTHER), |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE BY MD MEAT MARKET, INC., MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 10/30/2014)","Motion TO ","DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE",0,0,0,4,0,8524282,667919
401,"","38","2014-10-30 00:00:00","RESPONSE IN OPPOSITION RE |linksToEntryNumber| 28 MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE FILED BY NEW LIMECO, LLC. (ATTACHMENTS: # |linksToAttachmentNumber| 1 EXHIBIT A, # |linksToAttachmentNumber| 2  EXHIBIT B)(MCCAFFERY, ROBERT) (ENTERED: 10/30/2014)","ReplyOrResponse","",0,0,0,1,2,8524282,667919
402,"","37","2014-10-27 00:00:00","NOTICE BY MD MEAT MARKET, INC., MUHAMMED MUSA RE |linksToEntryNumber| 35 DECLARATION, |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE NOTICE OF FILING SUPPLEMENT TO DECLARATION OF DUARTE (FRICK, SCOTT) (ENTERED: 10/27/2014)","Notice","",0,0,0,2,0,8524282,667919
404,"","35","2014-10-24 00:00:00","DECLARATION OF MAIKEL DUARTE RE |linksToEntryNumber| 28  MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE BY MD MEAT MARKET, INC., MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 10/24/2014)","Other, motion-related","",0,0,0,1,0,8524282,667919
411,"","28","2014-10-17 00:00:00","MOTION TO DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE BY MD MEAT MARKET, INC., MUHAMMED MUSA. (FRICK, SCOTT) (ENTERED: 10/17/2014)","Motion TO ","DISMISS PLAINTIFF'S COMPLAINT WITH PREJUDICE",0,0,0,0,0,8524282,667919
469,"","27","2014-12-23 00:00:00","ENDORSED ORDER GRANTING |linksToEntryNumber| 26  MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY. PLAINTIFFS' RESPONSE TO DEFENDANTS' DISPOSITIVE MOTIONS TO DISMISS COUNT II AND COUNT III IN PLAINTIFFS' AMENDED COMPLAINT DUE ON OR BEFORE JANUARY 12, 2015. SIGNED BY MAGISTRATE JUDGE ANTHONY E. PORCELLI ON 12/23/2014. (FDM) (ENTERED: 12/23/2014)","Other","",0,0,0,1,0,12793281,667921
470,"","26","2014-12-23 00:00:00","UNOPPOSED MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 25  MOTION TO DISMISS AMENDED COMPLAINT BY ALL PLAINTIFFS. (WARDELL, JAMES) MOTIONS REFERRED TO MAGISTRATE JUDGE ANTHONY E. PORCELLI. (ENTERED: 12/23/2014)","Motion FOR ","EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 25  MOTION TO DISMISS AMENDED COMPLAINT",0,0,0,1,0,12793281,667921
471,"","25","2014-12-08 00:00:00","MOTION TO DISMISS AMENDED COMPLAINT BY CITY OF ST. PETERSBURG, BRIAN PREST. (PATNER, JOSEPH) (ENTERED: 12/08/2014)","Motion TO ","DISMISS AMENDED COMPLAINT",0,0,0,0,0,12793281,667921
473,"","23","2014-12-02 00:00:00","ENDORSED ORDER DENYING AS MOOT |linksToEntryNumber| 9 MOTION TO DISMISS; DENYING AS MOOT |linksToEntryNumber| 21  MOTION TO DISMISS. PLAINTIFFS FILED AN AMENDED COMPLAINT ON DECEMBER 1, 2014, WHICH SUPERSEDES THE ORIGINAL COMPLAINT. SIGNED BY JUDGE CHARLENE EDWARDS HONEYWELL ON 12/2/2014. (BGS) (ENTERED: 12/02/2014)","Other","",0,0,0,2,0,12793281,667921
475,"","21","2014-11-24 00:00:00","MOTION TO DISMISS COUNT III OF PLAINTIFFS' COMPLAINT BY BRIAN PREST. (PATNER, JOSEPH) (ENTERED: 11/24/2014)","Motion TO ","DISMISS COUNT III OF PLAINTIFFS' COMPLAINT",0,0,0,0,0,12793281,667921
477,"","19","2014-11-14 00:00:00","UNOPPOSED MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 9  MOTION TO DISMISS COUNT II BY LAQUANDA EVERETT, QUADE EVERETT. (WARDELL, JAMES) MOTIONS REFERRED TO MAGISTRATE JUDGE ANTHONY E. PORCELLI. (ENTERED: 11/14/2014)","Motion FOR ","EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 9  MOTION TO DISMISS COUNT II",0,0,0,1,0,12793281,667921
480,"","16","2014-11-03 00:00:00","ENDORSED ORDER GRANTING |linksToEntryNumber| 15 MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY RE |linksToEntryNumber| 15 UNOPPOSED MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 9 MOTION TO DISMISS COUNT II , |linksToEntryNumber| 9  MOTION TO DISMISS COUNT II. RESPONSE DUE BY 11/17/2014. SIGNED BY MAGISTRATE JUDGE ANTHONY E. PORCELLI ON 11/3/2014. (FDM) (ENTERED: 11/03/2014)","Other","",0,0,0,4,0,12793281,667921
481,"","15","2014-10-31 00:00:00","UNOPPOSED MOTION FOR EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 9  MOTION TO DISMISS COUNT II BY LAQUANDA EVERETT, QUADE EVERETT. (WARDELL, JAMES) MOTIONS REFERRED TO MAGISTRATE JUDGE ANTHONY E. PORCELLI. (ENTERED: 10/31/2014)","Motion FOR ","EXTENSION OF TIME TO FILE RESPONSE/REPLY AS TO |linksToEntryNumber| 9  MOTION TO DISMISS COUNT II",0,0,0,1,0,12793281,667921
487,"","9","2014-10-20 00:00:00","MOTION TO DISMISS COUNT II BY CITY OF ST. PETERSBURG. (PATNER, JOSEPH) (ENTERED: 10/20/2014)","Motion TO ","DISMISS COUNT II",0,0,0,0,0,12793281,667921
501,"","9","2014-10-14 00:00:00","ENDORSED ORDER GRANTING |linksToEntryNumber| 6  PLAINTIFF'S UNOPPOSED MOTION TO DISMISS COUNT V OF PLAINTIFF'S COMPLAINT WITHOUT PREJUDICE. PURSUANT TO FEDERAL RULE OF CIVIL PROCEDURE 41, COUNT V OF PLAINTIFF'S COMPLAINT IS HEREBY DISMISSED, WITHOUT PREJUDICE. SIGNED BY JUDGE MARY S. SCRIVEN ON 10/14/2014. (KMS) (ENTERED: 10/14/2014)","Other","",0,0,0,1,0,916283,667922
504,"","6","2014-10-10 00:00:00","UNOPPOSED MOTION TO DISMISS COUNT V FLSA NURSING OF PLAINTIFF COMPLAINT BY DESIREE M. VASQUEZ. (GRAY, CHRISTOPHER) (ENTERED: 10/10/2014)","Motion TO ","DISMISS COUNT V FLSA NURSING OF PLAINTIFF COMPLAINT",0,0,0,0,0,916283,667922
512,"","8","2014-11-26 00:00:00","RESPONSE IN OPPOSITION RE |linksToEntryNumber| 7  MOTION TO DISMISS COMPLAINT FILED BY FRIENDS PROVIDENT INTERNATIONAL LIMITED. (ROPPOLO, WILLIAM) (ENTERED: 11/26/2014)","ReplyOrResponse","",0,0,0,1,0,14347281,667924
513,"","7","2014-11-12 00:00:00","MOTION TO DISMISS COMPLAINT BY PETR KORDA. (ATTACHMENTS: # |linksToAttachmentNumber| 1 EXHIBIT EXHIBIT LIST, # |linksToAttachmentNumber| 2 EXHIBIT EXHIBIT A, # |linksToAttachmentNumber| 3 EXHIBIT EXHIBIT B PART 1, # |linksToAttachmentNumber| 4 EXHIBIT EXHIBIT B PART 2, # |linksToAttachmentNumber| 5  EXHIBIT EXHIBIT B PART 3)(SCRO, SALVATORE) (ENTERED: 11/12/2014)","Motion TO ","DISMISS COMPLAINT",0,0,0,0,5,14347281,667924
